,ID,ID_2022,ID_2019,ID_2016,IntDate,Mode,STATE,PCODE_r,SAMPSRC,accesstype,PANEL_FLAG,PANEL,CITIZEN,AGE,A1,A2_1,A2_2,A2_3,A2_4,A3,A4_1,A4_2,A4_3,A4_4,A4_5,A4_6,A5,A6,A7_1,A7_2,A7_3,A7_4,A7_5,A7_6,A7_7,A7_8,A9,A10,A11,A12_Order,A12a_1,A12a_2,A12a_3,A12a_4,A12a_5,A12a_6,A12a_7,A12a_8,A12_b,A12_c,A13_Order,A13_1,A13_2,A13_3,A13_4,A13_5,B1_r,B1_other_r,B2,B3,B4,B5,B6,B6a,B6b_1,B6b_2,B6b_3,B6b_4,B7,B8_1,B8_2,B8_3,B8_4,B8_5,B9_1_r,B9_1_other_r,B9_2_r,B9_2_other_r,B10,B11_1,B11_2,B12,B13,B14,B15_1,B15_2,B15_3,B15_4,B15_5,B15_6,B15_7,B15_8,B15b,B16,B17,B18_1,B18_2,B18_3,B18_4,B19_1,B19_2,B20_1,B20_2,B21_1,B21_2,C1_1,C1_2,C1_3,C1_4,C2_Order,C2_1,C2_2,C2_3,C2_4,C2_5,C2_6,C2_7,C2_8,C2_9,C3_Order,C3_1,C3_2,C3_3,C3_4,C3_5,C3_6,C3_7,C3_8,C3_9,C5,C6,C7,C8_1,C8_2,C8_3,C8_4,C8_5,C8_6,C9,C10,C11,C12b,C12c,C12d,C12e,C13_Order,C13_1,C13_2,C13_3,C13_4,C13_5,D1_Order,D1_1,D1_2,D1_3,D1_4,D1_6,D1_15,D1_10,D1_12,D1_13,D1_14,D2_Order,D2_1,D2_2,D2_3,D2_4,D2_6,D2_15,D2_10,D2_12,D2_13,D2_14,D3_1_Order,D3_1,D3_2_Order,D3_2,DVERB,D4_1,D4_2,D5_1,D5_2,D6_1,D6_2,D7_1,D7_2,D8_Order,D8_1,D8_2,D8_3,D8_4,D8_5,D8_6,D8_7,D8_8,D9_1,D9_2,D10_Order,D10_2,D10_3,D10a,E1,E2_Order,E2_3,E2_4,E2_6,E2_7,E6_Order,E6_2,E6_3,E6_5,E6_6,E6_7,E6a_1,E6a_2,E6a_3,E6a_4,E8_1_Order,E8_1,E8_2_Order,E8_2,F1,F2,F3,F4,F5_Order,F5_1,F5_2,F5_3,F5_6,F5_7,F5a,F6_Order,F6_1,F6_2,F6_3,F6a_Order,F6a_1,F6a_2,F6a_3,F6a_4,F6b,F6c,F7,F8_Order,F8_1,F8_2,F8_4,F8_5,F9,F10_Order,F10_1,F10_2,F10_3,F10_4,F10_5,F10_6,G1,G2,G3,G3_EDU,G4,G4_other,G5_Work,G5_Code_1d,G5_A_r,G5_B_r,G5_C_r,G5_D,G5_E,G5_F,G6,H1,H2,H2_AGE_GRP1,H2_AGE_GRP2,H3_1_r,H3_2_r,H3_3_r,H4,H5_1,H5_2,H6_r,H7,H8,I1,I1_other,I2_Work,I2_Code_1d,I2_A_r,I2_B_r,I3,I4,I5,I6,I6_other,J1,J2,J3,J4,J5,J6,J7,J8_1,J8_2,J8_3,J8_4,J8_5,J8_6,J8_7,J8_8,J9,W0,W1,W6,EDU_YOUTH,Panel_New,doutcome,devicetype,devicedets,GCCSA,SA2_r,LGA_r,CED_ABS,CED_AEC,weight_final,weight
1,22050036,,,,22-Jul-25,2,1,9,4,8,NA,NA,1,31,1,2,1,1,2,1,2,1,2,2,1,1,2,2,0,1,1,0,0,0,0,0,2,2,2,"_6,_1,_3,_2,_5,_4,_97,_na",1,1,0,0,0,0,0,0,3,2,"_2,_3,_1,_97,_na",0,0,1,0,0,1,9,1,1,4,2,1,2,2,1,1,2,2,8,7,8,8,8,2,9,2,9,3,NA,NA,1,2,2,0,1,0,0,1,0,0,0,2,4,4,9,9,9,8,1,2,1,1,2,1,8,9,8,8,"e,b,h,c,a,f,g,d,i",1,2,2,1,2,1,2,1,1,"e,b,h,c,a,f,g,d,i",1,2,2,1,1,2,2,1,2,2,2,2,2,1,1,2,2,1,4,3,3,2,1,1,2,"a,b,d,e,c",2,2,1,2,2,"a,d,b,m,p,c,j,n,f,l",1,1,1,2,1,1,1,1,2,2,"a,d,b,m,p,c,j,n,f,l",2,2,2,1,2,1,2,1,1,1,"_1,_4,_2,_13,_15,_3,_10,_14,_6,_12,_na",4,"_1,_2,_13,_15,_3,_10,_14,_6,_12,_na",3,The service they provide,3,1,2,1,2,2,1,2,"a,d,b,g,f,h,e,c",2,2,2,1,2,1,1,1,1,1,"b,c",1,1,1,2,"c,g,d,f",2,1,1,1,"b,c,f,g,e",1,1,1,2,2,2,1,1,1,"_1,_4,_2,_3,_na",4,"_1,_4,_2,_3,_na",2,1,3,2,2,"a,b,f,g,c",1,2,1,2,1,1,"b,c,a",1,2,1,"a,b,c,d",2,1,1,1,1,2,1,"a,e,b,d",1,2,1,2,1,"e,b,f,c,d,a",2,2,1,1,1,1,999,12,4,2,2,,1,2,9,9,9,2,2,1,2,2,1994,1,2,0,0,0,2,1,2,251500,2,1,NA,,NA,NA,9,9,NA,NA,NA,NA,,2,1,1,2,2,7,2,0,1,0,0,0,0,0,0,1,1,2,NA,1,3,1,1,1,1,9,9,128,NA,12196.74752,1.369737576
2,22050046,,,,22-Jul-25,2,3,9,4,8,NA,NA,1,28,999,3,2,3,4,3,3,2,2,3,3,3,5,3,1,0,0,0,0,0,0,0,1,2,2,"_6,_5,_4,_2,_1,_3,_97,_na",1,0,0,0,0,0,0,0,2,2,"_3,_1,_2,_97,_na",0,0,1,0,0,1,9,2,2,1,2,3,2,1,999,999,999,4,3,3,999,999,999,2,9,3,9,2,NA,NA,2,4,3,0,0,1,0,0,0,0,0,4,2,3,1,3,3,2,2,2,2,2,2,2,5,4,5,3,"c,i,a,e,g,h,d,f,b",2,3,3,3,3,2,3,3,3,"c,i,a,e,g,h,d,f,b",3,3,3,4,2,3,2,2,999,2,3,4,2,2,2,2,2,2,2,3,2,3,3,3,2,"e,c,b,a,d",3,4,3,4,3,"n,f,a,c,p,l,d,b,m,j",2,2,2,2,2,2,999,3,2,3,"n,f,a,c,p,l,d,b,m,j",999,999,999,999,999,999,999,999,999,3,"_14,_6,_1,_3,_15,_12,_4,_2,_13,_10,_na",999,,NA,I voted to reduce my burden on society through taxes,3,999,2,999,999,999,999,999,"h,c,e,a,d,g,b,f",999,999,999,999,999,999,999,999,999,999,"c,b",999,999,999,999,"g,d,c,f",999,999,999,999,"g,e,c,b,f",999,999,999,999,999,999,999,999,999,"_4,_2,_1,_3,_na",999,,NA,999,999,999,999,"g,c,b,a,f",999,999,999,999,999,999,"c,a,b",999,999,999,"a,b,c,d",999,999,999,999,999,5,4,"e,b,a,d",999,999,999,999,3,"f,c,a,b,e,d",999,999,999,999,999,999,999,999,7,2,7,,2,NA,9,9,9,NA,NA,NA,NA,1,1997,1,2,0,0,1,1,4,3,951111,999,999,NA,,NA,NA,9,9,NA,NA,NA,NA,,999,999,999,999,999,999,999,0,0,0,0,0,0,1,0,3,3,999,NA,1,3,1,1,1,5,9,9,304,377,16274.47856,1.827681092
3,22050052,,,,23-Jul-25,2,2,9,4,8,NA,NA,1,33,1,1,1,2,3,2,2,4,4,4,3,3,5,2,1,0,0,0,0,0,0,0,1,1,4,"_1,_3,_4,_2,_5,_6,_97,_na",0,1,0,0,0,0,0,0,3,1,"_1,_3,_2,_97,_na",0,0,0,1,0,2,9,3,1,1,2,2,3,2,1,2,2,3,7,6,7,5,6,2,9,2,9,1,NA,NA,1,1,2,0,1,0,0,0,0,0,0,2,3,4,5,6,7,5,2,2,2,1,1,1,5,6,5,6,"a,i,b,c,f,d,h,e,g",2,2,1,3,4,2,3,2,3,"a,i,b,c,f,d,h,e,g",3,3,2,3,2,2,3,4,1,3,2,2,2,2,2,2,1,2,4,3,4,3,2,3,2,"c,a,e,d,b",2,2,2,3,3,"c,j,l,b,m,a,d,f,p,n",3,2,3,3,2,3,2,2,2,3,"c,j,l,b,m,a,d,f,p,n",2,3,2,1,1,2,3,2,3,1,"_3,_10,_12,_2,_13,_1,_4,_6,_15,_14,_na",2,"_3,_10,_12,_13,_1,_4,_6,_15,_14,_na",1,Had to vote. So looked at the two candidates and decided I�d choose the one that least defended me.,2,3,2,2,4,2,2,2,"c,g,f,e,b,a,d,h",4,3,3,3,4,3,2,3,4,3,"b,c",3,2,3,1,"f,c,d,g",1,3,1,3,"e,b,g,f,c",4,2,1,3,3,3,2,2,3,"_3,_1,_2,_4,_na",2,"_3,_1,_2,_4,_na",1,2,2,3,3,"c,a,g,f,b",2,2,3,2,1,2,"a,c,b",4,3,2,"a,b,c,d",2,3,1,3,999,3,4,"d,a,b,e",2,4,3,3,2,"a,d,e,c,b,f",1,1,2,2,1,1,16,5,2,1,1,,1,2,9,9,9,2,2,2,2,2,1992,1,2,0,0,0,2,1,1,999996,1,2,1,,1,2,9,9,2,2,2,1,,1,2,2,2,5,24,2,0,0,0,0,0,0,1,0,1,999,2,NA,2,3,1,0,8,3,9,9,211,434,3623.536035,0.406935821
4,22050065,,,,22-Jul-25,2,2,9,4,8,NA,NA,1,33,4,4,4,4,4,4,4,4,4,4,4,4,5,3,1,0,0,0,0,0,0,0,4,3,2,"_2,_5,_1,_3,_6,_4,_97,_na",0,0,0,0,0,0,1,0,1,998,"_3,_1,_2,_97,_na",0,0,0,1,0,94,9,NA,3,6,3,3,3,3,3,3,3,4,5,5,5,5,5,6,9,6,9,NA,NA,NA,2,1,5,0,0,0,0,0,1,0,0,2,3,3,5,5,5,5,998,998,998,998,998,998,5,5,5,5,"c,g,h,i,f,d,e,a,b",4,4,4,4,4,4,4,4,4,"c,g,h,i,f,d,e,a,b",4,4,4,4,4,4,4,4,4,4,1,3,2,2,2,2,2,2,3,3,3,3,3,3,3,"e,c,d,a,b",3,3,3,3,3,"n,f,j,p,c,m,l,b,d,a",2,3,3,2,2,3,2,1,2,2,"n,f,j,p,c,m,l,b,d,a",998,998,998,998,998,998,998,998,998,998,"_14,_6,_10,_15,_3,_13,_12,_2,_4,_1,_na",12,"_14,_6,_10,_15,_3,_13,_2,_4,_1,_na",14,I dont remember how i voted,5,5,3,3,5,5,3,3,"f,a,c,e,g,h,d,b",3,3,3,3,3,3,3,3,4,5,"c,b",3,3,3,3,"d,g,c,f",1,5,1,1,"g,e,f,b,c",5,1,1,1,3,5,5,5,5,"_2,_4,_1,_3,_na",3,"_2,_4,_1,_3,_na",1,3,3,2,4,"g,c,f,a,b",2,2,1,2,1,2,"c,a,b",3,3,3,"a,b,c,d",3,3,3,3,1,3,3,"b,e,a,d",3,3,3,3,4,"f,e,c,d,a,b",998,998,998,998,998,998,17,0,1,2,1,,1,1,9,9,9,3,2,1,2,2,1992,1,2,0,0,0,2,998,998,951111,6,1,NA,,NA,NA,9,9,NA,NA,NA,NA,,3,2,2,3,2,11,1,0,0,0,0,0,0,1,0,1,1,1,NA,2,3,1,0,12,4,9,9,210,418,48505.24937,5.447309834
5,22050084,,,,22-Jul-25,2,1,9,4,8,NA,NA,1,33,3,3,3,3,3,3,3,3,3,3,3,3,5,3,1,0,0,0,0,0,0,0,4,3,4,"_4,_2,_5,_1,_3,_6,_97,_na",0,0,0,0,0,0,1,0,1,998,"_3,_2,_1,_97,_na",0,0,0,1,0,94,9,NA,3,6,3,3,3,3,3,3,3,3,5,5,5,5,5,6,9,6,9,NA,NA,NA,2,1,6,0,1,0,0,0,0,0,0,1,3,3,5,5,5,5,998,998,998,998,998,998,5,5,5,5,"c,d,e,f,h,a,b,i,g",2,3,3,2,2,3,2,2,2,"c,d,e,f,h,a,b,i,g",2,3,3,2,2,3,2,3,3,3,1,1,2,2,2,2,2,1,3,3,3,3,3,3,3,"e,d,b,c,a",3,3,3,3,3,"f,n,b,m,d,j,l,a,c,p",2,3,1,2,1,2,2,1,2,1,"f,n,b,m,d,j,l,a,c,p",998,998,998,998,998,998,998,998,998,998,"_6,_14,_2,_13,_4,_10,_12,_1,_3,_15,_na",12,"_6,_14,_2,_13,_4,_10,_1,_3,_15,_na",3,Na,5,4,2,2,3,3,2,2,"c,h,b,f,d,a,e,g",3,3,3,3,3,3,3,3,2,1,"b,c",3,3,3,3,"f,d,g,c",3,4,3,3,"g,f,c,e,b",2,2,3,2,2,3,3,3,3,"_3,_2,_4,_1,_na",3,"_3,_2,_4,_1,_na",4,1,999,3,3,"g,f,b,c,a",2,2,2,3,2,4,"c,b,a",3,3,3,"a,b,c,d",3,3,3,3,1,3,4,"d,b,e,a",3,3,3,3,3,"c,b,e,f,d,a",998,998,998,998,998,998,17,3,2,1,2,,1,8,9,9,9,999,2,2,2,2,1992,1,2,0,0,0,2,998,998,951111,6,2,1,,1,3,9,9,2,999,999,94,,3,2,1,4,4,21,1,0,0,0,0,0,0,1,0,1,1,2,NA,2,3,1,1,6,1,9,9,120,385,33951.90536,3.812918197
6,22050098,,,,23-Jul-25,2,1,9,4,8,NA,NA,1,31,3,3,4,4,3,3,3,4,4,4,4,4,5,3,0,0,1,0,0,0,0,0,2,3,3,"_2,_1,_3,_6,_5,_4,_97,_na",0,0,0,0,0,0,1,0,1,998,"_2,_3,_1,_97,_na",0,0,0,1,0,2,9,2,1,6,4,3,3,1,1,1,1,2,4,8,2,9,1,4,9,4,9,1,2,2,2,6,2,0,0,1,0,0,0,0,0,1,5,3,5,6,0,7,998,998,998,998,2,1,5,4,4,4,"e,h,g,d,f,i,c,a,b",2,3,2,2,2,3,2,3,3,"e,h,g,d,f,i,c,a,b",2,4,3,3,3,4,2,3,4,2,1,2,2,2,2,2,2,2,5,3,2,3,1,3,3,"e,d,c,b,a",3,2,2,2,2,"f,l,a,n,m,c,b,d,p,j",2,2,2,2,2,2,2,1,2,2,"f,l,a,n,m,c,b,d,p,j",998,998,998,998,998,1,998,998,998,998,"_6,_12,_1,_14,_13,_3,_2,_4,_15,_10,_na",12,"_6,_1,_14,_13,_3,_2,_4,_15,_10,_na",14,Did not like liberal policies,2,4,2,2,3,4,2,2,"e,f,c,b,a,g,h,d",2,3,3,4,2,3,4,2,3,2,"b,c",3,3,2,2,"c,d,g,f",4,3,3,3,"g,f,e,c,b",3,2,4,2,2,2,2,2,2,"_1,_2,_4,_3,_na",3,"_1,_2,_4,_3,_na",2,3,2,2,2,"g,f,c,b,a",3,3,2,3,3,1,"b,c,a",2,3,2,"a,b,c,d",3,2,1,2,1,3,3,"a,b,e,d",4,3,2,2,2,"e,c,a,d,f,b",1,998,2,1,998,1,18,5,3,1,1,,1,5,9,9,9,4,2,1,2,2,1994,1,2,0,5,5,2,2,2,951111,6,2,1,,1,2,9,9,2,2,2,2,,2,1,2,2,4,25,1,0,0,0,0,0,0,1,0,1,1,2,NA,2,3,1,1,1,1,9,9,112,392,4962.180915,0.557270342
7,22050100,,,,22-Jul-25,2,5,9,4,8,NA,NA,1,31,1,2,2,2,2,1,2,2,1,2,2,2,4,3,1,0,0,0,0,0,0,0,3,3,4,"_2,_5,_6,_1,_3,_4,_97,_na",0,1,0,0,1,0,0,0,1,998,"_1,_3,_2,_97,_na",0,0,0,1,0,94,9,NA,1,2,1,4,4,2,2,2,2,1,5,4,4,5,4,1,9,1,9,3,NA,NA,1,1,1,0,1,0,0,0,0,0,0,999,3,3,5,4,4,0,2,2,2,2,2,2,3,5,5,5,"g,c,f,i,h,b,e,d,a",4,4,4,4,4,4,4,4,4,"g,c,f,i,h,b,e,d,a",3,3,3,3,3,3,3,3,3,3,1,4,2,2,2,2,2,2,3,3,2,2,1,2,2,"a,c,b,d,e",3,2,3,2,2,"a,c,l,p,m,b,n,d,j,f",1,1,3,3,1,3,2,1,2,2,"a,c,l,p,m,b,n,d,j,f",2,2,3,3,3,3,2,3,3,3,"_1,_3,_12,_15,_13,_2,_14,_4,_10,_6,_na",2,"_1,_3,_12,_15,_13,_14,_4,_10,_6,_na",6,Because Australia is becoming India!!!,4,4,2,2,4,4,3,3,"a,b,g,c,e,f,h,d",2,5,5,5,5,5,5,5,4,4,"b,c",1,2,3,1,"c,f,d,g",1,1,1,1,"b,e,c,f,g",5,1,1,1,3,5,5,5,5,"_1,_3,_2,_4,_na",3,"_1,_3,_2,_4,_na",2,3,1,3,4,"a,c,b,f,g",3,3,3,2,2,2,"a,c,b",5,4,3,"a,b,c,d",3,2,2,4,2,2,5,"a,d,b,e",1,5,5,1,3,"a,d,e,c,f,b",998,1,998,1,2,998,16,3,4,2,2,,1,1,9,9,9,2,2,1,2,2,1994,1,2,0,0,0,2,998,998,951111,5,2,2,,1,2,9,9,2,2,2,94,,3,2,2,4,5,17,1,0,0,0,0,0,0,1,0,1,1,2,NA,2,3,1,0,12,9,9,9,515,426,14531.19244,1.631903938
8,22050137,,,,23-Jul-25,2,2,9,4,8,NA,NA,1,28,2,3,2,3,2,2,2,3,3,2,3,3,4,3,0,0,1,0,0,0,0,0,3,3,4,"_4,_2,_6,_5,_1,_3,_97,_na",0,1,0,0,1,0,0,0,3,2,"_1,_2,_3,_97,_na",0,1,0,0,0,2,9,2,1,5,2,3,3,2,1,2,2,2,5,5,5,5,5,2,9,2,9,3,NA,NA,1,1,2,1,0,0,0,0,0,0,0,4,3,3,3,6,5,4,998,998,998,998,2,998,6,1,4,4,"g,b,e,c,d,a,h,f,i",2,2,2,2,2,3,2,3,3,"g,b,e,c,d,a,h,f,i",3,4,3,3,3,3,3,4,4,2,2,3,2,2,2,2,2,2,3,3,1,2,3,1,1,"e,b,c,a,d",3,3,3,3,3,"n,b,l,j,a,f,c,d,p,m",2,1,1,2,1,1,1,1,2,1,"n,b,l,j,a,f,c,d,p,m",1,1,1,1,1,1,1,1,1,1,"_14,_2,_12,_10,_1,_6,_3,_4,_15,_13,_na",12,"_14,_2,_10,_1,_6,_3,_4,_15,_13,_na",6,Could not say,1,2,1,2,1,2,1,2,"h,f,g,c,a,b,d,e",4,4,3,3,3,3,3,2,1,2,"c,b",3,3,3,4,"g,d,f,c",3,3,3,3,"g,c,e,b,f",5,3,2,4,2,3,3,3,3,"_4,_2,_3,_1,_na",4,"_4,_2,_3,_1,_na",3,2,3,2,3,"g,b,c,a,f",2,1,1,3,2,3,"a,b,c",2,2,2,"a,b,c,d",3,3,3,4,2,5,2,"e,b,d,a",1,5,4,2,2,"d,f,e,c,a,b",1,998,1,998,2,998,13,15,3,1,7,,1,4,9,9,9,4,2,1,2,2,1997,1,2,5,5,5,2,998,998,999996,3,2,1,,1,1,9,9,2,1,2,2,,1,2,1,2,4,24,1,0,0,0,0,0,0,1,0,1,2,2,NA,2,3,1,1,6,3,9,9,218,421,8408.69526,0.944326005
9,22050157,,,,22-Jul-25,2,5,9,4,8,NA,NA,1,28,3,4,4,3,4,4,3,4,4,4,4,4,5,3,1,0,0,0,0,0,0,0,1,1,3,"_4,_6,_5,_2,_1,_3,_97,_na",0,0,0,0,0,0,1,0,1,998,"_1,_2,_3,_97,_na",0,0,0,1,0,1,9,2,1,1,4,3,4,1,1,2,2,2,6,7,4,6,2,1,9,1,9,3,NA,NA,2,1,1,1,0,0,0,0,0,0,0,2,3,2,3,2,6,0,998,2,1,1,1,1,2,4,5,0,"a,b,d,e,g,c,f,i,h",2,2,2,2,2,2,2,2,2,"a,b,d,e,g,c,f,i,h",2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,3,3,3,2,1,2,"b,e,d,a,c",3,3,2,2,1,"b,d,l,n,a,p,c,j,f,m",1,2,1,1,1,1,1,1,1,1,"b,d,l,n,a,p,c,j,f,m",2,998,998,998,3,1,998,1,3,1,"_2,_4,_12,_14,_1,_15,_3,_10,_6,_13,_na",12,"_2,_4,_14,_1,_15,_3,_10,_6,_13,_na",15,No,3,3,2,2,3,2,2,2,"d,h,b,f,a,e,g,c",2,2,2,3,2,3,2,3,1,1,"c,b",2,2,3,3,"g,c,d,f",4,5,5,3,"c,g,f,b,e",4,2,4,1,1,2,3,3,2,"_4,_1,_2,_3,_na",2,"_4,_1,_2,_3,_na",3,3,3,2,3,"b,g,f,a,c",2,3,2,3,2,2,"a,b,c",3,2,1,"a,b,c,d",3,3,1,3,2,3,2,"e,a,b,d",4,1,1,4,1,"d,f,e,b,a,c",1,2,2,2,2,2,18,4,3,1,1,,1,2,9,9,9,3,2,1,2,2,1997,1,2,0,2,0,2,1,998,951111,6,2,1,,1,3,9,9,2,1,2,94,,2,1,2,2,3,25,5,0,0,0,0,0,0,1,0,1,1,2,NA,2,3,1,1,1,9,9,9,504,350,4612.663665,0.518018327
10,22050163,,,,23-Jul-25,2,2,9,4,8,NA,NA,1,27,2,2,1,4,1,1,2,1,4,2,1,2,2,2,0,1,0,0,0,0,0,0,2,4,2,"_4,_6,_1,_3,_2,_5,_97,_na",1,0,0,1,0,0,0,0,4,1,"_3,_2,_1,_97,_na",0,0,1,0,0,3,9,1,2,1,3,2,3,1,2,1,2,3,0,5,4,9,10,2,9,4,9,2,NA,2,1,2,6,0,0,1,0,1,0,0,0,3,3,2,6,10,7,2,2,1,1,1,2,1,0,7,10,6,"i,f,e,c,g,a,d,b,h",2,3,4,1,3,1,3,3,3,"i,f,e,c,g,a,d,b,h",1,1,1,3,2,1,3,2,2,2,3,1,1,2,2,1,1,1,3,3,1,1,2,1,2,"a,b,e,c,d",2,1,2,1,5,"p,c,l,n,m,a,j,b,d,f",3,3,1,2,1,2,2,3,1,2,"p,c,l,n,m,a,j,b,d,f",2,3,2,1,2,2,3,1,2,3,"_15,_3,_12,_14,_13,_1,_10,_2,_4,_6,_na",10,"_15,_3,_12,_14,_13,_1,_2,_4,_6,_na",13,So they could get off my back,4,1,2,1,3,1,3,2,"h,f,d,a,e,c,g,b",2,4,4,3,1,1,5,4,3,1,"c,b",1,4,3,1,"g,f,d,c",4,2,1,4,"b,c,g,e,f",4,1,5,2,2,2,4,1,3,"_4,_3,_2,_1,_na",2,"_4,_3,_2,_1,_na",3,1,4,3,1,"a,b,g,c,f",1,3,3,3,1,2,"c,b,a",1,3,1,"a,b,c,d",3,3,1,4,1,3,1,"e,d,b,a",2,1,1,4,3,"f,d,e,c,a,b",2,2,1,1,998,1,19,2,3,1,2,,1,6,9,9,9,2,2,2,2,2,1998,1,2,-98,0,1,2,3,5,951111,3,1,NA,,NA,NA,9,9,NA,NA,NA,NA,,2,999,2,2,4,13,4,0,1,0,0,0,0,0,0,2,1,4,NA,2,3,1,1,6,3,9,9,223,409,3623.536035,0.406935821
